sequence,count,length
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,26,12
assignCodPicking -> assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> putPackages2Bag -> assignBagWithIdentifyBag -> cfmTransit -> TransferToBothBill,26,10
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> PickupBill -> confirmTmpPickedPackageStatus,26,5
assignCodPicking -> takeReturningPackages -> distributorCfmReturning,26,3
assignCodPicking -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,26,4
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,25,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,25,8
assignCodPicking -> distributorCfmReturning -> takeReturningPackages,25,3
putPackages2Bag -> smartScaleScanningPackage -> putInBox -> verifySessionPackage,25,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill -> distributorCfmReturning -> importStationByDistributer -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,25,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> TransferToBothBill -> cfmTransit,25,5
assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill,25,4
assignCodPicking -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupBill,24,4
privateNotePackage -> cfmTransit -> TransferToBothBill,24,3
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,24,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,24,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> verifySessionPackage,24,5
verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage -> verifySessionPackage,24,19
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill,23,12
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> confirmTmpPickedPackageStatus -> updatePickedByCod -> PickupCrossProvinceBill -> PickupBill -> cfmTransit -> TransferToBothBill,23,11
putPackages2Bag -> smartScaleScanningPackage -> putPackages2Bag -> smartScaleScanningPackage -> assignBagWithIdentifyBag,23,5
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,22,11
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> PickupBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,22,7
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> cfmTransit -> TransferToBothBill,22,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,22,36
distributorCfmDeliver -> editPackage -> updateDeliverCod,22,3
assignCodPicking -> ReturnBill -> updateReturnedByCod -> confirmTmpReturnedPackageStatus,22,4
assignCodPicking -> updateReturnedByCod -> ReturnBill -> confirmTmpReturnedPackageStatus,22,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,21,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> PickupBill -> updatePickedByCod -> cfmTransit -> TransferToBothBill,21,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,21,8
assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking -> assignCodPicking,21,19
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus,21,7
smartScaleScanningPackage -> cfmTransit -> TransferToBothBill,20,3
assignCodPicking -> assignCodPicking -> assignCodPicking -> cfmTransit -> TransferToBothBill -> importStationByDistributer -> distributorCfmReturning,20,7
updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> assignCodPicking -> assignCodPicking,20,5
putPackages2Bag -> putInBox -> verifySessionPackage,20,3
changePackageStatus -> assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,20,5
assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> updatePickedByCod,19,7
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill -> changePackageStatus -> confirmTmpPickedPackageStatus -> updateDelayPickingByCod -> PickupBill -> changePackageStatus -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,19,12
putPackages2Bag -> smartScaleScanningPackage -> putInBox -> ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,19,6
changePackageStatus -> assignCodPicking -> confirmTmpPickedPackageStatus -> PickupBill -> updateDelayPickingByCod,19,5
assignCodPicking -> ReturnBill -> confirmTmpReturnedPackageStatus -> updateReturnedByCod,19,4
assignCodPicking -> confirmTmpReturnedPackageStatus -> ReturnBill -> updateReturnedByCod,19,4
assignCodPicking -> assignCodPicking -> assignCodPicking -> putPackages2Bag -> assignBagWithIdentifyBag -> PickupBill -> updatePickedByCod -> PickupCrossProvinceBill -> confirmTmpPickedPackageStatus -> cfmTransit -> TransferToBothBill,19,11
assignCodPicking -> assignCodPicking -> assignCodPicking -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,19,6
assignCodPicking -> updateDelayPickingByCod -> confirmTmpPickedPackageStatus -> PickupBill,19,4
assignCodPicking -> smartScaleScanningPackage -> putPackages2Bag -> putInBox,19,4
assignCodPicking -> updatePickedByCod -> confirmTmpPickedPackageStatus -> PickupBill -> PickupCrossProvinceBill -> distributorCfmReturning -> importStationByDistributer -> confirmTmpReturnedPackageStatus -> updateReturnedByCod -> ReturnBill,19,10
assignCodPicking -> assignCodPicking -> assignCodPicking -> importStationByDistributer -> distributorCfmReturning -> updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,18,8
