count,from_action,to_action
15,delayDeliverPackageReason,updateTmpDeliveringStatus
15,verifySessionBags,confirmTmpReturnedPackageStatus
15,changePackageStatus,TakeAPhotoReturnRequest
15,RefundBill,updateDeliverWorkshiftByCod
15,smartScaleScanningPackage,putPackages2TmpBag
15,cfmImpPkgFrPONew,cfmTransit
15,printfPackage,privateNotePackage
15,changePickCod,changePickCodAction
15,putPackages2Bag,putPackages2Bag
14,changeCurStationBagSurplus,TakeAPhotoReturnRequest
14,verifySessionBags,ReturnBill
14,changePickCodAction,changePickCod
14,verifySessionPackage,updateTmpReturningStatus
14,updateTmpDeliveringStatus,delayDeliverPackageReason
14,distributorCfmDeliver,printfPackage
14,updateDelayDeliveringByCod,privateNotePackage
14,DteamTakeAPhotoDeliver,TakeAPhotoDeliveryPhotos
14,TakeAPhotoDeliveryPhotos,ArriveDeliveringPoint
14,privateNotePackage,TransferToBothBill
13,saveIsfrageImages,distributorCfmReturning
13,assignCodPicking,distributorCfmDeliver
13,updateNotDeliveredByCod,privateNotePackage
13,updateDelayPickingByCod,ReturnBill
13,confirmTmpPickedPackageStatus,ReturnBill
13,cfmImpPkgFrPONew,putPackages2Bag
13,privateNotePackage,changeAttributeForSurplus
13,privateNotePackage,updateDeliverCod
13,feedbackReDelivery,distributorCfmDeliver
13,updateTmpDeliveringStatus,RefundBill
13,smartScaleScanningPackage,updateReturnedByCod
13,changePickCod,assignCodPicking
13,updateDelayPickingByCod,TakeAPhotoReturnRequest
13,verifySessionPackage,updateDeliverWorkshiftByCod
12,PickupCrossProvinceBill,takeReturningPackages
12,assignCodPicking,ImportPkgCheckIn
12,reassignDeliverCart,updateDeliverWorkShiftPackage
12,TakeAPhotoDeliveryPhotos,DteamTakeAPhotoDeliver
12,verifySessionPackage,editPackage
12,smartScaleScanningPackage,delayReturnPackageReason
12,changePickCodAction,assignCodPicking
12,feedbackReDelivery,feedbackReDelivery
12,changeCodForPackagesInCart,confirmTmpReturnedPackageStatus
12,verifySessionBags,updateDeliverWorkShiftPackage
11,ReturnBill,verifySessionPackage
11,confirmTmpPickedPackageStatus,putPackages2Bag
11,privateNotePackage,importStationByDistributer
11,distributorCfmDeliver,ArriveDeliveringPoint
11,changeTransferStationByChangeCart,changeCart
11,smartScaleScanningPackage,changeTrfSorting
11,updateNotPickedByCod,PickupBill
11,PickupBill,ScanPackageToBag
11,verifySessionBags,NVBCTakeAPhotoDelivery
11,PickupBill,updateNotPickedByCod
11,delayDeliverPackageReason,confirmTmpDeliveredPackageStatus
11,changeCodForPackagesInCart,ArrivePickingPoint
11,Prepayment_qrBill,cfmDonePrepaymnet
11,confirmTmpPickedPackageStatus,updateNotPickedByCod
10,saveIsfrageImages,importStationByDistributer
10,updateTmpReturningStatus,confirmTmpDelayReturningPackageStatus
10,confirmTmpPickedPackageStatus,smartScaleScanningPackage
10,checkPackageSealScanned,saveIsfrageImages
10,TransferToBothBill,confirmExportBox
10,confirmTmpPickedPackageStatus,TakeAPhotoReturnRequest
10,changeAlias,changeTransferStationByChangeCart
10,putPackages2Bag,distributorCfmReturning
10,updatePickedByCod,updateReturnedByCod
10,smartScaleScanningPackage,saveSealForSpecialPackage
10,verifySessionPackage,changeTrfSorting
10,scanBox,TransferToBothBill
10,verifySessionPackage,updateDelayDeliveringByCod
10,updateDeliverWorkshiftByCod,privateNotePackage
10,changeAlias,changeCart
10,confirmTmpPickedPackageStatus,ScanPackageToBag
10,distributorCfmDeliver,putInBox
10,cfmDonePrepaymnet,Prepayment_qrBill
10,assignCodPicking,TakeAPhotoReturnRequest
9,changePackageStatus,RefundBill
9,updateDeliverCod,updateDelayDeliveringByCod
