pkg_order,action,username,length
1549635098,verifySessionPackage -> TakeAPhotoDeliveryPhotos -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,7
1094204543,verifySessionPackage -> TakeAPhotoDeliveryPhotos -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,8
1102805501,verifySessionPackage -> RefundBill -> updateDelayDeliveringByCod -> confirmTmpDeliveredPackageStatus -> distributorCfmDeliver -> updateNotDeliveredByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> privateNotePackage,quanvc5,9
1191834872,verifySessionPackage -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateDelayDeliveringByCod -> distributorCfmDeliver,quanvc5,5
1620294279,verifySessionPackage -> NVBCTakeAPhotoDelivery -> distributorCfmDeliver -> updateDeliverCod -> editPackage,quanvc5,5
1589536246,verifySessionPackage -> NVBCTakeAPhotoDelivery -> distributorCfmDeliver -> editPackage -> updateDeliverCod -> distributorCfmDeliver -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> privateNotePackage,quanvc5,10
1168486781,verifySessionPackage -> NVBCTakeAPhotoDelivery -> distributorCfmDeliver,quanvc5,3
1865780896,verifySessionPackage -> NVBCConfirmImageWorkshift -> updateDelayDeliveringByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> updateNotDeliveredByCod -> RefundBill -> confirmTmpDeliveredPackageStatus -> privateNotePackage,quanvc5,9
1752915970,verifySessionPackage -> DteamTakeAPhotoDeliver -> TakeAPhotoDeliveryPhotos -> ArriveDeliveringPoint -> BlurredBarcode -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,11
1030471454,verifySessionPackage -> BlurredBarcode -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,7
1137945567,verifySessionPackage -> ArriveDeliveringPoint -> delayDeliverPackageReason -> updateTmpDeliveringStatus -> TakeAPhotoDeliveringTiktokPackage -> DteamTakeAPhotoDeliver -> ArriveDeliveringPoint -> updateTmpDeliveringStatus -> confirmTmpDeliveredPackageStatus -> RefundBill,quanvc5,10
1067795629,verifySessionBags -> distributorCfmDeliver -> privateNotePackage,quanvc5,3
1220838915,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1569469757,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1136705955,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1976484105,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1556303134,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1906894684,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1015535950,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1546959492,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1571088937,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1678956170,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1690256944,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1900372500,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1208848924,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1854801739,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1703830013,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1359759206,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1997709500,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1654272496,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1830358651,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1500278162,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1799809491,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1630559797,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1154400443,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1629278057,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1625974949,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1240336935,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1791322892,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1152601939,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1258569420,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1649551081,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1086699555,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1267565594,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1981586380,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1812478524,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1283117501,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1087796472,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1285789725,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1141341104,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1829173036,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1367019926,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1637640331,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1897561652,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1480474470,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1737115192,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1191932601,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
1436776173,updateReturnedByCod -> confirmTmpReturnedPackageStatus -> ReturnBill,quanvc5,3
